symbol,timeframe,bars_available,oldest_bar_utc,newest_bar_utc,lookback_days,lookback_hours,status,instrument,pair
BTCUSD,M5,100000,2025-07-14T05:05:00+00:00,2026-07-01T15:00:00+00:00,352.41319444444446,8457.916666666666,ok,BTC,BTC
UK100,M5,100000,2025-01-13T11:20:00+00:00,2026-07-01T15:00:00+00:00,534.1527777777778,12819.666666666666,ok,UK100,UK100
AUDJPY,M5,100000,2025-02-24T23:00:00+00:00,2026-07-01T15:00:00+00:00,491.6666666666667,11800.0,ok,AUDJPY,AUDJPY
USDCHF,M5,100000,2025-02-24T23:00:00+00:00,2026-07-01T15:00:00+00:00,491.6666666666667,11800.0,ok,USDCHF,USDCHF
XAUUSD,M5,100000,2025-01-29T03:40:00+00:00,2026-07-01T15:00:00+00:00,518.4722222222222,12443.333333333334,ok,XAUUSD,XAUUSD
EURJPY,M5,100000,2025-02-24T23:10:00+00:00,2026-07-01T15:00:00+00:00,491.65972222222223,11799.833333333334,ok,EURJPY,EURJPY
